text,keyword,label
no #thedailyshow this week,no #thedailyshow this week,neutral
 Look at this ! http://twitpic.com/4wcqa  I can`t see them at all. What the heck..,I can`t see them at all. What the heck..,negative
 Do you think the bead crumb navigation will return to the new Fusion studios? I really miss that at the top of each item.,miss,negative
 There is a motorcycle for sale down the road. Mind you it`d be stupid of me to get it. Summer 5 months away.,Mind you it`d be stupid,negative
" Oh let me clarify,know lots of nice people who live there, but thought it always was a breeding ground 4 BNP","w lots of nice people who live there, but thought it always was a breeding ground",neutral
" Yep. I hope my lame attempt with the spaces helped me to hinder them, lol. I know tomorrow I guess.",helped,positive
 when u get a chance can u post a video of tinkerbell saying peekaboo i kinda wana hear him say it,when u get a chance can u post a video of tinkerbell saying peekaboo i kinda wana hear him say it,neutral
" I will take pics soon :] Also, I would hang out with you everyday if we lived near each other","I will take pics soon :] Also, I would hang out with you everyday if we lived near each other",neutral
   i fell asleep on the beach and didn`t put on enough sunscreen  lol,i fell asleep on the beach and didn`t put on enough sunscreen,neutral
which is why i can`t wait till i move out of home and life by myself next year  WACKY ADVENTURES EVERY DAY!!!!!,which is why i can`t wait till i move out of home and life by myself next year  WACKY ADVENTURES EVERY DAY!!!!!,neutral
 If you haven`t changed your mind by mid-June then you can have one  x,If you haven`t changed your mind by mid-June then you can have one,neutral
Mom has left... again,Mom has left... again,negative
Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck,Tmrw is going to suck,negative
"mmm, just had the best delicious chocolate pancakes for tea break. oh thank God for HERHSEY`S Chocolate Syrup!",delicious,positive
Wish someone would by my 90mm Mamiya MF lens. Needs the money,Wish someone would by my 90mm Mamiya MF lens. Needs the money,neutral
I think i am getting a cold,I think i am getting a cold,neutral
"where is the love by the black eyed peas, so many memories. Watching the hulk!",love,positive
nt online & mayb next week  if u havent voted pls do: http://bit.ly/hHigd,nt online & mayb next week  if u havent voted pls do:,neutral
researching ecologically friendly carrier bags... its not cheap to be eco friendly,friendly,positive
Come See Me Live On Stickam  http://www.stickam.com/valentine_rock,Come See Me Live On Stickam,neutral
mOod. was way too much fun. lol..  I lOve to dance TEchno !!! <3 ... life.lOve.stress &&. set backs <3 gnite,mOod. was way too much fun. lol..  I lOve to dance TEchno !!! <3 ... life.lOve.stress &&. set backs <3 gnite,positive
_Monstr  u may try Prism http://prism.mozilla.com/,_Monstr  u may try Prism,neutral
" hee hee - btw thanks for your LinkedIn tips - i`ve still to use them, but thanks in advance",thanks,positive
everyone`s abandoning the office... I still have 5 hours to go,everyone`s abandoning the office... I still have 5 hours to go,neutral
 -- That`s got to be hard. My parents have been apart most of their marriage  For 6 months this year t &I will be 10K mi apart,hard.,negative
" Girl, if you were part of the tour, I would seriously be the first in line for tickets.  Just sayin`.","Girl, if you were part of the tour, I would seriously be the first in line for tickets.  Just sayin`.",neutral
I miss having nothing to do except lay out beside the pool every day of the summer.  That was much better than spending all day in class.,I miss having nothing to do except lay out beside the pool every day of the summer.  That was much better than spending all day in class.,neutral
 I am so sorry.,I am so sorry.,negative
Young money,Young money,neutral
"I`m going through withdrawls,  missing someone!!!!",missing someone!!!!,negative
_Henrie you are amazingg. replyy! it`s a dream come true if you would reply to me,amazingg.,positive
_north27 http://twitpic.com/4jcjr - Mmm yummy... looks like an invitation to me,yummy..,positive
" good **** homie, hahahahaha thats what im talkin about  ;)",good,positive
 iknowww! Not many people know about it tho. So I like to keep it my little secret,. So I like to keep it my little secret,positive
Can`t wait for the next twitter.,Can`t wait,positive
Another great song to sing along with....    ? http://blip.fm/~5jhtq,great,positive
  its awful. Xxxx,its awful,negative
"me and my friends are just sitting here and searching for pictures on google   haha, my friend found pictures of her father! haha",! haha,positive
French isn`t meant to be taught to asians,French isn`t meant to be taught to asians,neutral
"i`m gonna eat some chips??!! anybody, want some??? hahaha!",hahaha!,positive
"Working, Listening to music,Testing out a new singer/guitarist tonight, let`s hope for the best",hope,positive
is up and ready,is up and ready,neutral
Get on a plane! Come drink my Cristal with me,Get on a plane! Come drink my Cristal with me,neutral
http://twitpic.com/4wf3a - the definition of true beauty,the definition of true beauty,positive
Getting back my English minor exam soon. dum dum dum duuuum. Me and Margrete had a burping comp. haha. I WON,I WON,positive
back to work.. with no distractions..,back to work.. with no distractions..,positive
", OR write a CMS that uses git for versioning  check out rails-git.  I`d be interested in working on something like that.",e interested,positive
" Hey there, I just crop them in Photoshop and play around with the composition. What looks better large etc.","Hey there, I just crop them in Photoshop and play around with the composition. What looks better large etc.",neutral
ok... finished all the Mikados  Should shut up now! lol,shut,negative
Checked if there`s a new comment on friendster!,Checked if there`s a new comment on friendster!,neutral
 you just got one more!!,you just got one more!!,neutral
ugh. trying to respond to all of the emails/voicemails/facebook messages that I missed while out of town. this could be a while,ugh.,negative
loves twitter (Y) 38th post. mwaha  x,loves,positive
 oo noo thats not good,s not good,negative
_RedBone stop that babe u makin me feel very bad now! :/,feel very bad,negative
 Ah that would explain the italian colouring,Ah that would explain the italian colouring,neutral
The 'shhh..' stuff is finally all done!,The 'shhh..' stuff is finally all done!,neutral
" again, agreed. but having a program showing your friends are on facebook would be easier than giving every1 yer info","again, agreed. but having a program showing your friends are on facebook would be easier than giving every1 yer info",neutral
"Acquiring a CentOS live CD, now where did I put my memory stick, I would like to boot from that. I wonder if I left it at home",I would like to boot from that. I wonder if I left it at home,neutral
 Peek-a-boo!! i can see you!!,Peek-a-boo!! i can see you!!,neutral
 oh hahah thats ok then,oh hahah thats ok then,positive
"Off to meeting in Lincoln Square, bummer, no more free parking","bummer,",negative
jerk josh! didn`t even come meet me  - im thinking of a number guess ?,didn`t even come meet me,negative
 without ur tweets i feel lost hit me with something,lost,negative
 ill buy you one,ill buy you one,neutral
 Any tips for someone who has only made it 52 on Flight Control?,Any tips for someone who has only made it 52 on Flight Control?,neutral
What`s with the mass exodus from work at half three?  It makes me sad,sad,negative
Time to get purrtty. *wink*,Time to get purrtty. *wink*,positive
"Why would someone even do something like that, you gotta be pretty **** desperate for attention!!! lol poor keanu",poor keanu,negative
" I like the idea of eliminating bludgers and beaters just tackling ppl, makes it nearly as dangerous as book quidditch",dangerous,negative
" great!!  i`ve gpt tp put the lyrics in, finsih the background, then go over some writing, and then done!!",great!,positive
"LaLaLand... why am i liking that song so much?! Anyhoo.... grr I have a cold, but thank goodness though the sore throat has gone!!",liking,positive
gotta go! bye twitterland!  good night! i`ll try sleep. so that i will recover easily! still sick!  bye!,gotta go! bye twitterland!  good night! i`ll try sleep. so that i will recover easily! still sick!  bye!,neutral
has a headaaaaaaaaaaaache,headaaaaaaaaaaaache,negative
i always feel last.,i always feel last.,neutral
Luking for new background pic......,Luking for new background pic..,neutral
 happy mothers day to you as well!,happy mothers day,positive
Getting rather annoyed at my notebook. I know it`s old and has got wrinkles but it`s never been this slow before,annoyed at my notebook. I know it`s old and has got wrinkles but it`s never been this slow before,negative
 just got them- about to read & reply,just got them- about to read & reply,neutral
 http://twitpic.com/24mer - i like Mr Piggls I mean Pickles!!,- i like Mr Piggls I mean Pickles!!,positive
listening through the Mendeed discog once again. I still think their disbanding is a loss.  #metal,I still think their disbanding is a loss.,negative
 dont worry im not!!! i dont get it on my tv,dont worry im not!!! i dont get it on my tv,positive
"Hey Girlie, How are you doing?  ","Hey Girlie, How are you doing?",positive
"it appears we found the dog.....as we were posting signs with his picture, someone else was posting 'found' signs with his picture....","it appears we found the dog.....as we were posting signs with his picture, someone else was posting 'found' signs with his picture....",neutral
Ahh its so gloomy out  I`m pretty sure I just heard thunder eeeeeeek.,Ahh its so gloomy out  I`m pretty sure I just heard thunder eeeeeeek.,neutral
" Hi Lisa, you have the most BEAUTIFUL pups! HAPPY MOTHERS DAY!2 Raven, Rio& Thors WONDERFUR mama!!  *kittykisses*","Hi Lisa, you have the most BEAUTIFUL pups! HAPPY MOTHERS DAY!2 Raven, Rio& Thors WONDERFUR mama!!  *kittykisses*",positive
"Crazy Legs is peepin _parks at the pool hahaha She likes graf writers, not b-boys, sorry","at the pool hahaha She likes graf writers, not b-boys, sorry",neutral
" So then **** Awesome Super Sexy Stud Muffin Beast, How`s that sound to you ",Awesome,positive
Ah! Just remembered some (hopefully good) news is coming (hopefully soon) from someone I know... once again may the *happydance* commence,(hopefully good) news is coming (hopefully soon) from someone I know... once again may the *happydance* commence,positive
OMG!!! am luat examenul la SPSS! Me so happy!,happy!,positive
_II I have no choice  have to get on it!,_II I have no choice  have to get on it!,neutral
"Made my first Skype to landline call.  Good call quality, quite impressed",Good,positive
 I`m jealous - I would love deer steak. One of the downsides of having an almost vegetarian and a carnivore living together,I`m jealous - I would love deer steak. One of the downsides of having an almost vegetarian and a carnivore living together,neutral
Work has really sucked the past 2 days & now my 11:00 meeting on Mon got rescheduled to 9 am! That`s just plain evil...i need a new job!!,sucked,negative
  missing jmichelle... told you treat me like a step child! smh,missing,negative
 Oh yea! I didn`t think it was open yet! They took over Ben & Jerry`s.  I loved that place.,I loved,positive
" hows the peas doin? if you meet them, tell them i said hello","hows the peas doin? if you meet them, tell them i said hello",neutral
Brownie sundaes at Five and Dumpster. Blood Bros on iTunes. Palm Reader was closed  Fun at the 371 anyway.,Brownie sundaes at Five and Dumpster. Blood Bros on iTunes. Palm Reader was closed  Fun at the 371 anyway.,neutral
"Omg I want TF2, everybody on my Steam Friends list is playing it",Omg I,negative
upss..her name is writen like chesca.,upss..her name is writen like chesca.,neutral
 And the first thing you did was get your twit on....,And the first thing you did was get your twit on....,neutral
" Ooooh, boo!  We only see each other at the bar (at `s well) or miss each other! I`ll make a pt of stopping by! ;)",r miss,negative
For _inLaPush because she misses Quil so...  Far Away ~Nickleback ? http://blip.fm/~5z639,she misses Quil so...,negative
 Heh... I send dem when I get dem Jen... I was shocked I found so many these last few days... earlier in the week nothing...,shocked,negative
_rocks19  i have to break the twitterparty... im off home soon,i have to break the twitterparty... im off home soon,neutral
 super stressful day & can`t sleep...glad I found you your so sweet to take the time to make strangers feel good.,super stressful day & can`t sleep...glad I found you your so sweet,neutral
 yea i know right! i love that song!,love,positive
 yeah unfortuantley  Sam hanks **** bowl that he like rolled along the floor got me out  grr,unfortuantley,negative
Photo: martwo: OMG i love you!!!! i accadentally deleted this photo  yay hes SO beautiful http://tumblr.com/xvd1wankt,Photo: martwo: OMG i love you!!!! i accadentally deleted this photo  yay hes SO beautiful http://tumblr.com/xvd1wankt,neutral
 hey how is everything going? please reply back. sometimes i think you hate me because you never reply back to me,sometimes i think you hate me because you never reply back to me,negative
i feel really blessed to have super awesome best friends,blessed,positive
 and what a scary reflection it was! thought you were going to wizz your pants,scary,negative
Shen computer just broke  Time to get the old IBM out...,Shen computer just broke  Time to get the old IBM out...,neutral
 genevaaa! my picture isnt showing up  i dont think im doing it right,my picture isnt showing up,negative
 hey there? hope you`re all right. Just watching F1 Warm Up for GP Spain!,hope you`re all right.,positive
_0 have you considered cordoning off a corner of the park with beware 'Swine flu' signs might clear it out for you,have you considered cordoning off a corner of the park with beware 'Swine flu' signs might clear it out for you,neutral
Only has under 200 words left to write on her assignment,Only has under 200 words left to write on her assignment,neutral
sad assembly  next block,sad assembly  next block,negative
 Dave i ask you for 'The Fix' by JK!!! and send HI to my sister Lisette and me ( Alejandra ) from Mexico!!!!!,Dave i ask you for 'The Fix' by JK!!! and send HI to my sister Lisette and me ( Alejandra ) from Mexico!!!!!,neutral
another fun night!!  chilled wit my homie @ green turtle n the park....good times...good times.,.good,positive
I`m going to miss my iMac so much over the next month.,miss,negative
wishes she would call him ...   *hc*,wishes she would call him ...   *hc*,neutral
off to work! missing out on all the sunshine!,missing out on all the sunshine!,negative
is feeling waaay too cruisey and relaxed for a Monday evening...  oh wait..  that`s just wine before dinner...,is feeling waaay too cruisey and relaxed fo,positive
Looks like it`s going to be a upset for Venus,upset,negative
"I`ve come close to astroturf myself, . Save yr $$ - it doesn`t drain. Just spray paint yr yard green instead","I`ve come close to astroturf myself, . Save yr $$ - it doesn`t drain. Just spray paint yr yard green instead",neutral
 indeed! we are trying to get it in the Trending topics for the fun of it  all Some Twilighters idea!,Trending topics for the fun,positive
 no Belgian an not a record collector,no Belgian an not a record collector,neutral
" Ok, im not really that far yet  On the 2nd part of 4. Wish she did them earlier though, like mid day so I could be involved",. Wish,positive
'To boldly go where no one has gone before...','To boldly go where no one has gone before...',neutral
